2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-27 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-91 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-91 sampler: Home Page 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-96 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-92 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-39 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-68 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-68 sampler: Home Page 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-15 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-31 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-31 sampler: Post 1 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-2 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-2 sampler: Home Page 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-36 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-36 sampler: Post 1 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-91 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-61 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-61 sampler: Home Page 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-6 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-6 sampler: Post 1 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-25 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-25 sampler: Post 1 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-68 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Stopping: Thread Group 1-49 
2010/06/25 08:59:01 WARN  - jmeter.threads.JMeterThread: Interrupting: Thread Group 1-49 sampler: Home Page 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.net.SocketException: Socket closed 
2010/06/25 08:59:01 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-36 
